0:00:00:00 Starting a new session
0:00:00:00 Loaded a total of 6 password hashes with 6 different salts
0:00:00:00 Remaining 6 password hashes with 6 different salts
0:00:00:00 - Hash type: Traditional DES (lengths up to 8, longer passwords split)
0:00:00:00 - Algorithm: 24/32 4K
0:00:00:00 - Candidate passwords will be buffered and tried in chunks of 128
0:00:00:00 Proceeding with "single crack" mode
0:00:00:00 - 956 preprocessed word mangling rules
0:00:00:00 - Allocated 6 buffers of 64 candidate passwords each
0:00:00:00 - Rule #1: ':' accepted as ''
0:00:00:00 - Rule #2: '-s x**' rejected
0:00:00:00 - Rule #3: '-c (?acQ' accepted as '(?acQ'
0:00:00:00 - Rule #4: '-c lQ' accepted as 'lQ'
0:00:00:00 - Rule #5: '-s-c x**MlQ' rejected
0:00:00:00 - Rule #87: '<*l$i' accepted
0:00:00:00 - Rule #88: '<*l$j' accepted
0:00:00:00 - Rule #89: '<*l$k' accepted
0:00:00:00 - Rule #90: '<*l$l' accepted
0:00:00:00 - Rule #91: '<*l$m' accepted
0:00:00:00 - Rule #92: '<*l$n' accepted
0:00:00:00 - Rule #93: '<*l$o' accepted
0:00:00:00 - Oldest still in use is now rule #92
0:00:00:00 - Rule #94: '<*l$p' accepted
0:00:00:00 - Rule #95: '<*l$q' accepted
0:00:00:00 - Rule #96: '<*l$r' accepted
0:00:00:00 - Rule #97: '<*l$s' accepted
0:00:00:00 - Rule #98: '<*l$t' accepted
0:00:00:00 - Rule #99: '<*l$u' accepted
0:00:00:00 - Rule #100: '<*l$v' accepted
0:00:00:00 - Rule #101: '<*l$w' accepted
0:00:00:00 - Rule #102: '<*l$x' accepted
0:00:00:00 - Rule #103: '<*l$y' accepted
0:00:00:00 - Rule #104: '<*l$z' accepted
0:00:00:00 - Rule #105: '<*l$"' accepted
0:00:00:00 - Rule #106: '<*l$#' accepted
0:00:00:00 - Rule #107: '<*l$$' accepted
0:00:00:00 - Rule #108: '<*l$%' accepted
0:00:00:00 - Rule #109: '<*l$&' accepted
0:00:00:00 - Rule #110: '<*l$'' accepted
0:00:00:00 - Rule #111: '<*l$(' accepted
0:00:00:00 - Rule #112: '<*l$)' accepted
0:00:00:00 - Rule #113: '<*l$*' accepted
0:00:00:00 - Rule #114: '<*l$+' accepted
0:00:00:00 - Oldest still in use is now rule #113
0:00:00:00 - Rule #115: '<*l$,' accepted
0:00:00:00 - Rule #116: '<*l$-' accepted
0:00:00:00 - Rule #117: '<*l$.' accepted
0:00:00:00 - Rule #118: '<*l$/' accepted
0:00:00:00 - Rule #119: '<*l$:' accepted
0:00:00:00 - Rule #120: '<*l$;' accepted
0:00:00:00 - Rule #121: '<*l$<' accepted
0:00:00:00 - Rule #122: '<*l$=' accepted
0:00:00:00 - Rule #123: '<*l$>' accepted
0:00:00:00 - Rule #124: '<*l$?' accepted
0:00:00:00 - Rule #125: '<*l$@' accepted
0:00:00:00 - Rule #126: '<*l$[' accepted
0:00:00:00 - Rule #127: '<*l$\' accepted
0:00:00:00 - Rule #128: '<*l$]' accepted
0:00:00:00 - Rule #129: '<*l$^' accepted
0:00:00:00 - Rule #130: '<*l$_' accepted
0:00:00:00 - Rule #131: '<*l$`' accepted
0:00:00:00 - Rule #132: '<*l${' accepted
0:00:00:00 - Rule #133: '<*l$|' accepted
0:00:00:00 - Rule #134: '<*l$}' accepted
0:00:00:00 - Rule #135: '<*l$~' accepted
0:00:00:00 - Rule #136: '<*(?ac$1' accepted
0:00:00:00 - Oldest still in use is now rule #135
0:00:00:00 - Rule #137: '<*(?ac$2' accepted
0:00:00:00 - Rule #138: '<*(?ac$3' accepted
0:00:00:00 - Rule #139: '<*(?ac$4' accepted
0:00:00:00 - Rule #140: '<*(?ac$5' accepted
0:00:00:00 - Rule #141: '<*(?ac$6' accepted
0:00:00:00 - Rule #142: '<*(?ac$7' accepted
0:00:00:00 - Rule #143: '<*(?ac$8' accepted
0:00:00:00 - Rule #144: '<*(?ac$9' accepted
0:00:00:00 - Rule #145: '<*(?ac$!' accepted
0:00:00:00 - Rule #146: '<*(?ac$0' accepted
0:00:00:00 - Rule #147: '<*(?ac$a' accepted
0:00:00:00 - Rule #148: '<*(?ac$b' accepted
0:00:00:00 - Rule #149: '<*(?ac$c' accepted
0:00:00:00 - Rule #150: '<*(?ac$d' accepted
0:00:00:00 - Rule #151: '<*(?ac$e' accepted
0:00:00:00 - Rule #152: '<*(?ac$f' accepted
0:00:00:00 - Rule #153: '<*(?ac$g' accepted
0:00:00:00 - Rule #154: '<*(?ac$h' accepted
0:00:00:00 - Rule #155: '<*(?ac$i' accepted
0:00:00:00 - Rule #156: '<*(?ac$j' accepted
0:00:00:00 - Rule #157: '<*(?ac$k' accepted
0:00:00:00 - Rule #158: '<*(?ac$l' accepted
0:00:00:00 - Rule #159: '<*(?ac$m' accepted
0:00:00:00 - Rule #160: '<*(?ac$n' accepted
0:00:00:00 - Rule #161: '<*(?ac$o' accepted
0:00:00:00 - Rule #162: '<*(?ac$p' accepted
0:00:00:00 - Rule #163: '<*(?ac$q' accepted
0:00:00:00 - Rule #164: '<*(?ac$r' accepted
0:00:00:00 - Rule #165: '<*(?ac$s' accepted
0:00:00:00 - Rule #166: '<*(?ac$t' accepted
0:00:00:00 - Rule #167: '<*(?ac$u' accepted
0:00:00:00 - Oldest still in use is now rule #166
0:00:00:00 - Rule #168: '<*(?ac$v' accepted
0:00:00:00 - Rule #169: '<*(?ac$w' accepted
0:00:00:00 - Rule #170: '<*(?ac$x' accepted
0:00:00:00 - Rule #171: '<*(?ac$y' accepted
0:00:00:00 - Rule #172: '<*(?ac$z' accepted
0:00:00:00 - Rule #173: '<*(?ac$"' accepted
0:00:00:00 - Rule #174: '<*(?ac$#' accepted
0:00:00:00 - Rule #175: '<*(?ac$$' accepted
0:00:00:00 - Rule #176: '<*(?ac$%' accepted
0:00:00:00 - Rule #177: '<*(?ac$&' accepted
0:00:00:00 - Rule #178: '<*(?ac$'' accepted
0:00:00:00 - Rule #179: '<*(?ac$(' accepted
0:00:00:00 - Rule #180: '<*(?ac$)' accepted
0:00:00:00 - Rule #181: '<*(?ac$*' accepted
0:00:00:00 - Rule #182: '<*(?ac$+' accepted
0:00:00:00 - Rule #183: '<*(?ac$,' accepted
0:00:00:00 - Rule #184: '<*(?ac$-' accepted
0:00:00:00 - Rule #185: '<*(?ac$.' accepted
0:00:00:00 - Rule #186: '<*(?ac$/' accepted
0:00:00:00 - Rule #187: '<*(?ac$:' accepted
0:00:00:00 - Rule #188: '<*(?ac$;' accepted
0:00:00:00 - Rule #189: '<*(?ac$<' accepted
0:00:00:00 - Rule #190: '<*(?ac$=' accepted
0:00:00:00 - Rule #191: '<*(?ac$>' accepted
0:00:00:00 - Rule #192: '<*(?ac$?' accepted
0:00:00:00 - Rule #193: '<*(?ac$@' accepted
0:00:00:00 - Rule #194: '<*(?ac$[' accepted
0:00:00:00 - Rule #195: '<*(?ac$\' accepted
0:00:00:00 - Rule #196: '<*(?ac$]' accepted
0:00:00:00 - Rule #197: '<*(?ac$^' accepted
0:00:00:00 - Rule #198: '<*(?ac$_' accepted
0:00:00:00 - Rule #199: '<*(?ac$`' accepted
0:00:00:00 - Oldest still in use is now rule #198
0:00:00:00 - Rule #200: '<*(?ac${' accepted
0:00:00:00 - Rule #201: '<*(?ac$|' accepted
0:00:00:00 - Rule #202: '<*(?ac$}' accepted
0:00:00:00 - Rule #203: '<*(?ac$~' accepted
0:00:00:00 - Rule #204: '<*lr$1' accepted
0:00:00:00 - Rule #205: '<*lr$2' accepted
0:00:00:00 - Rule #206: '<*lr$3' accepted
0:00:00:00 - Rule #207: '<*lr$4' accepted
0:00:00:00 - Rule #208: '<*lr$5' accepted
0:00:00:00 - Rule #209: '<*lr$6' accepted
0:00:00:00 - Rule #210: '<*lr$7' accepted
0:00:00:00 - Rule #211: '<*lr$8' accepted
0:00:00:00 - Rule #212: '<*lr$9' accepted
0:00:00:00 - Rule #213: '<*lr$!' accepted
0:00:00:00 - Rule #214: '<*/?au$1' accepted
0:00:00:00 - Rule #215: '<*/?au$2' accepted
0:00:00:00 - Rule #216: '<*/?au$3' accepted
0:00:00:00 - Rule #217: '<*/?au$4' accepted
0:00:00:00 - Rule #218: '<*/?au$5' accepted
0:00:00:00 - Rule #219: '<*/?au$6' accepted
0:00:00:00 - Rule #220: '<*/?au$7' accepted
0:00:00:00 - Rule #221: '<*/?au$8' accepted
0:00:00:00 - Rule #222: '<*/?au$9' accepted
0:00:00:00 - Rule #223: '<*/?au$!' accepted
0:00:00:00 - Rule #224: '<-l$!$!' accepted
0:00:00:00 - Rule #225: '<-(?ac$!$!' accepted
0:00:00:00 - Rule #226: 'l$!<-$!$!' accepted
0:00:00:00 - Oldest still in use is now rule #225
0:00:00:00 - Rule #227: '(?ac$!<-$!$!' accepted
0:00:00:00 - Rule #228: '/?v@?v>2l' accepted
0:00:00:00 - Rule #229: '/?v@?v>2(?ac' accepted
0:00:00:00 - Rule #230: '/?v@?v>2<*d' accepted
0:00:00:00 - Rule #231: '<*lP' accepted
0:00:00:00 - Rule #232: '<*lI' accepted
0:00:00:00 - Rule #233: '<*lP(?ac' accepted
0:00:00:00 - Rule #234: '<*lI(?ac' accepted
0:00:00:00 - Rule #235: '<*(?al)yro0ir$e' accepted
0:00:00:00 - Rule #236: '<*(?ac)yro0ir$e' accepted
0:00:00:00 - Rule #237: '<*(?al)er=1iD0o0yr' accepted
0:00:00:00 - Rule #238: '<*(?ac)er=1iD0o0yr' accepted
0:00:00:00 - Rule #239: 'l/asa4:' accepted
0:00:00:00 - Rule #240: 'l/asa4c' accepted
0:00:00:00 - Rule #241: 'l/ese3:' accepted
0:00:00:00 - Rule #242: 'l/ese3c' accepted
0:00:00:00 - Rule #243: 'l/lsl1:' accepted
0:00:00:00 - Rule #244: 'l/lsl1c' accepted
0:00:00:00 - Rule #245: 'l/oso0:' accepted
0:00:00:00 - Rule #246: 'l/oso0c' accepted
0:00:00:00 - Rule #247: 'l/sss$:' accepted
0:00:00:00 - Rule #248: 'l/sss$c' accepted
0:00:00:00 - Rule #249: 'l/asa4/ese3:' accepted
0:00:00:00 - Rule #250: 'l/asa4/ese3c' accepted
0:00:00:00 - Rule #251: 'l/asa4/lsl1:' accepted
0:00:00:00 - Rule #252: 'l/asa4/lsl1c' accepted
0:00:00:00 - Rule #253: 'l/asa4/oso0:' accepted
0:00:00:00 - Rule #254: 'l/asa4/oso0c' accepted
0:00:00:00 - Rule #255: 'l/asa4/sss$:' accepted
0:00:00:00 - Rule #256: 'l/asa4/sss$c' accepted
0:00:00:00 - Rule #257: 'l/ese3/lsl1:' accepted
0:00:00:00 - Rule #258: 'l/ese3/lsl1c' accepted
0:00:00:00 - Rule #259: 'l/ese3/oso0:' accepted
0:00:00:00 - Rule #260: 'l/ese3/oso0c' accepted
0:00:00:00 - Rule #261: 'l/ese3/sss$:' accepted
0:00:00:00 - Rule #262: 'l/ese3/sss$c' accepted
0:00:00:00 - Rule #263: 'l/lsl1/oso0:' accepted
0:00:00:00 - Rule #264: 'l/lsl1/oso0c' accepted
0:00:00:00 - Rule #265: 'l/lsl1/sss$:' accepted
0:00:00:00 - Rule #266: 'l/lsl1/sss$c' accepted
0:00:00:00 - Rule #267: 'l/oso0/sss$:' accepted
0:00:00:00 - Rule #268: 'l/oso0/sss$c' accepted
0:00:00:00 - Rule #269: 'l/asa4/ese3/lsl1:' accepted
0:00:00:00 - Rule #270: 'l/asa4/ese3/lsl1c' accepted
0:00:00:00 - Rule #271: 'l/asa4/ese3/oso0:' accepted
0:00:00:00 - Rule #272: 'l/asa4/ese3/oso0c' accepted
0:00:00:00 - Rule #273: 'l/asa4/ese3/sss$:' accepted
0:00:00:00 - Rule #274: 'l/asa4/ese3/sss$c' accepted
0:00:00:00 - Rule #275: 'l/asa4/lsl1/oso0:' accepted
0:00:00:00 - Rule #276: 'l/asa4/lsl1/oso0c' accepted
0:00:00:00 - Rule #277: 'l/asa4/lsl1/sss$:' accepted
0:00:00:00 - Rule #278: 'l/asa4/lsl1/sss$c' accepted
0:00:00:00 - Rule #279: 'l/asa4/oso0/sss$:' accepted
0:00:00:00 - Rule #280: 'l/asa4/oso0/sss$c' accepted
0:00:00:00 - Rule #281: 'l/ese3/lsl1/oso0:' accepted
0:00:00:00 - Rule #282: 'l/ese3/lsl1/oso0c' accepted
0:00:00:00 - Rule #283: 'l/ese3/lsl1/sss$:' accepted
0:00:00:00 - Rule #284: 'l/ese3/lsl1/sss$c' accepted
0:00:00:00 - Rule #285: 'l/ese3/oso0/sss$:' accepted
0:00:00:00 - Rule #286: 'l/ese3/oso0/sss$c' accepted
0:00:00:00 - Rule #287: 'l/lsl1/oso0/sss$:' accepted
0:00:00:00 - Rule #288: 'l/lsl1/oso0/sss$c' accepted
0:00:00:00 - Rule #289: 'l/asa4/ese3/lsl1/oso0:' accepted
0:00:00:00 - Rule #290: 'l/asa4/ese3/lsl1/oso0c' accepted
0:00:00:00 - Rule #291: 'l/asa4/ese3/lsl1/sss$:' accepted
0:00:00:00 - Rule #292: 'l/asa4/ese3/lsl1/sss$c' accepted
0:00:00:00 - Rule #293: 'l/asa4/ese3/oso0/sss$:' accepted
0:00:00:00 - Rule #294: 'l/asa4/ese3/oso0/sss$c' accepted
0:00:00:00 - Rule #295: 'l/asa4/lsl1/oso0/sss$:' accepted
0:00:00:00 - Rule #296: 'l/asa4/lsl1/oso0/sss$c' accepted
0:00:00:00 - Rule #297: 'l/ese3/lsl1/oso0/sss$:' accepted
0:00:00:00 - Rule #298: 'l/ese3/lsl1/oso0/sss$c' accepted
0:00:00:00 - Rule #299: 'l/asa4/ese3/lsl1/oso0/sss$:' accepted
0:00:00:00 - Rule #300: 'l/asa4/ese3/lsl1/oso0/sss$c' accepted
0:00:00:00 - Rule #301: 'l^1' accepted
0:00:00:00 - Rule #302: 'l^a' accepted
0:00:00:00 - Rule #303: 'l^b' accepted
0:00:00:00 - Rule #304: 'l^c' accepted
0:00:00:00 - Rule #305: 'l^d' accepted
0:00:00:00 - Rule #306: 'l^e' accepted
0:00:00:00 - Rule #307: 'l^f' accepted
0:00:00:00 - Rule #308: 'l^g' accepted
0:00:00:00 - Rule #309: 'l^h' accepted
0:00:00:00 - Rule #310: 'l^i' accepted
0:00:00:00 - Oldest still in use is now rule #309
0:00:00:00 - Rule #311: 'l^j' accepted
0:00:00:00 - Rule #312: 'l^k' accepted
0:00:00:00 - Rule #313: 'l^l' accepted
0:00:00:00 - Rule #314: 'l^m' accepted
0:00:00:00 - Rule #315: 'l^n' accepted
0:00:00:00 - Rule #316: 'l^o' accepted
0:00:00:00 - Rule #317: 'l^p' accepted
0:00:00:00 - Rule #318: 'l^q' accepted
0:00:00:00 - Rule #319: 'l^r' accepted
0:00:00:00 - Rule #320: 'l^s' accepted
0:00:00:00 - Rule #321: 'l^t' accepted
0:00:00:00 - Rule #322: 'l^u' accepted
0:00:00:00 - Rule #323: 'l^v' accepted
0:00:00:00 - Rule #324: 'l^w' accepted
0:00:00:00 - Rule #325: 'l^x' accepted
0:00:00:00 - Rule #326: 'l^y' accepted
0:00:00:00 - Oldest still in use is now rule #325
0:00:00:00 - Rule #327: 'l^z' accepted
0:00:00:00 - Rule #328: 'l^2' accepted
0:00:00:00 - Rule #329: 'l^3' accepted
0:00:00:00 - Rule #330: 'l^4' accepted
0:00:00:00 - Rule #331: 'l^5' accepted
0:00:00:00 - Rule #332: 'l^6' accepted
0:00:00:00 - Rule #333: 'l^7' accepted
0:00:00:00 - Rule #334: 'l^8' accepted
0:00:00:00 - Rule #335: 'l^9' accepted
0:00:00:00 - Rule #336: 'l^0' accepted
0:00:00:00 - Rule #337: 'lQ^A' accepted
0:00:00:00 - Rule #338: 'lQ^B' accepted
0:00:00:00 - Rule #339: 'lQ^C' accepted
0:00:00:00 - Rule #340: 'lQ^D' accepted
0:00:00:00 - Rule #341: 'lQ^E' accepted
0:00:00:00 - Rule #342: 'lQ^F' accepted
0:00:00:00 - Rule #343: 'lQ^G' accepted
0:00:00:00 - Rule #344: 'lQ^H' accepted
0:00:00:00 - Rule #345: 'lQ^I' accepted
0:00:00:00 - Rule #346: 'lQ^J' accepted
0:00:00:00 - Rule #347: 'lQ^K' accepted
0:00:00:00 - Rule #348: 'lQ^L' accepted
0:00:00:00 - Rule #349: 'lQ^M' accepted
0:00:00:00 - Rule #350: 'lQ^N' accepted
0:00:00:00 - Rule #351: 'lQ^O' accepted
0:00:00:00 - Rule #352: 'lQ^P' accepted
0:00:00:00 - Rule #353: 'lQ^Q' accepted
0:00:00:00 - Rule #354: 'lQ^R' accepted
0:00:00:00 - Rule #355: 'lQ^S' accepted
0:00:00:00 - Rule #356: 'lQ^T' accepted
0:00:00:00 - Rule #357: 'lQ^U' accepted
0:00:00:00 - Rule #358: 'lQ^V' accepted
0:00:00:00 - Rule #359: 'lQ^W' accepted
0:00:00:00 - Rule #360: 'lQ^X' accepted
0:00:00:00 - Rule #361: 'lQ^Y' accepted
0:00:00:00 - Rule #362: 'lQ^Z' accepted
0:00:00:00 - Rule #363: '^A' accepted
0:00:00:00 - Rule #364: '^B' accepted
0:00:00:00 - Rule #365: '^C' accepted
0:00:00:00 - Rule #366: '^D' accepted
0:00:00:00 - Rule #367: '^E' accepted
0:00:00:00 - Rule #368: '^F' accepted
0:00:00:00 - Oldest still in use is now rule #367
0:00:00:00 - Rule #369: '^G' accepted
0:00:00:00 - Rule #370: '^H' accepted
0:00:00:00 - Rule #371: '^I' accepted
0:00:00:00 - Rule #372: '^J' accepted
0:00:00:00 - Rule #373: '^K' accepted
0:00:00:00 - Rule #374: '^L' accepted
0:00:00:00 - Rule #375: '^M' accepted
0:00:00:00 - Rule #376: '^N' accepted
0:00:00:00 - Rule #377: '^O' accepted
0:00:00:00 - Rule #378: '^P' accepted
0:00:00:00 - Rule #379: '^Q' accepted
0:00:00:00 - Rule #380: '^R' accepted
0:00:00:00 - Rule #381: '^S' accepted
0:00:00:00 - Rule #382: '^T' accepted
0:00:00:00 - Rule #383: '^U' accepted
0:00:00:00 - Rule #384: '^V' accepted
0:00:00:00 - Oldest still in use is now rule #383
0:00:00:00 - Rule #385: '^W' accepted
0:00:00:00 - Rule #386: '^X' accepted
0:00:00:00 - Rule #387: '^Y' accepted
0:00:00:00 - Rule #388: '^Z' accepted
0:00:00:00 - Rule #389: 'l^"' accepted
0:00:00:00 - Rule #390: 'l^#' accepted
0:00:00:00 - Rule #391: 'l^$' accepted
0:00:00:00 - Rule #392: 'l^%' accepted
0:00:00:00 - Rule #393: 'l^&' accepted
0:00:00:00 - Rule #394: 'l^'' accepted
0:00:00:00 - Rule #395: 'l^(' accepted
0:00:00:00 - Rule #396: 'l^)' accepted
0:00:00:00 - Rule #397: 'l^*' accepted
0:00:00:00 - Rule #398: 'l^+' accepted
0:00:00:00 - Rule #399: 'l^,' accepted
0:00:00:00 - Rule #400: 'l^-' accepted
0:00:00:00 - Oldest still in use is now rule #399
0:00:00:00 - Rule #401: 'l^.' accepted
0:00:00:00 - Rule #402: 'l^/' accepted
0:00:00:00 - Rule #403: 'l^:' accepted
0:00:00:00 - Rule #404: 'l^;' accepted
0:00:00:00 - Rule #405: 'l^<' accepted
0:00:00:00 - Rule #406: 'l^=' accepted
0:00:00:00 - Rule #407: 'l^>' accepted
0:00:00:00 - Rule #408: 'l^?' accepted
0:00:00:00 - Rule #409: 'l^@' accepted
0:00:00:00 - Rule #410: 'l^[' accepted
0:00:00:00 - Rule #411: 'l^\' accepted
0:00:00:00 - Rule #412: 'l^]' accepted
0:00:00:00 - Rule #413: 'l^^' accepted
0:00:00:00 - Rule #414: 'l^_' accepted
0:00:00:00 - Rule #415: 'l^`' accepted
0:00:00:00 - Rule #416: 'l^{' accepted
0:00:00:00 - Oldest still in use is now rule #415
0:00:00:00 - Rule #417: 'l^|' accepted
0:00:00:00 - Rule #418: 'l^}' accepted
0:00:00:00 - Rule #419: 'l^~' accepted
0:00:00:00 - Rule #420: '<9(?al^e^h^t' accepted
0:00:00:00 - Rule #421: '<9(?al^e^h^T' accepted
0:00:00:00 - Rule #422: '<9(?ac^e^h^t' accepted
0:00:00:00 - Rule #423: '<9(?ac^e^h^T' accepted
0:00:00:00 - Rule #424: '<9(?al^y^m^a' accepted
0:00:00:00 - Rule #425: '<9(?al^y^m^A' accepted
0:00:00:00 - Rule #426: '<9(?ac^y^m^a' accepted
0:00:00:00 - Rule #427: '<9(?ac^y^m^A' accepted
0:00:00:00 - Rule #428: '<9(?al^r^m' accepted
0:00:00:00 - Rule #429: '<9(?al^r^d' accepted
0:00:00:00 - Rule #430: '<9(?al^r^M' accepted
0:00:00:00 - Rule #431: '<9(?al^r^D' accepted
0:00:00:00 - Rule #432: '<9(?ac^r^m' accepted
0:00:00:00 - Rule #433: '<9(?ac^r^d' accepted
0:00:00:00 - Rule #434: '<9(?ac^r^M' accepted
0:00:00:00 - Rule #435: '<9(?ac^r^D' accepted
0:00:00:00 - Rule #436: '<9(?al^.^r^m' accepted
0:00:00:00 - Rule #437: '<9(?al^.^r^d' accepted
0:00:00:00 - Rule #438: '<9(?al^.^r^M' accepted
0:00:00:00 - Rule #439: '<9(?al^.^r^D' accepted
0:00:00:00 - Rule #440: '<9(?ac^.^r^m' accepted
0:00:00:00 - Rule #441: '<9(?ac^.^r^d' accepted
0:00:00:00 - Rule #442: '<9(?ac^.^r^M' accepted
0:00:00:00 - Rule #443: '<9(?ac^.^r^D' accepted
0:00:00:00 - Oldest still in use is now rule #442
0:00:00:00 - Rule #444: '<9(?al^_^_' accepted
0:00:00:00 - Rule #445: '<9(?ac^_^_' accepted
0:00:00:00 - Rule #446: '<-!?Alp^2' accepted
0:00:00:00 - Rule #447: '<-!?Alp^4' accepted
0:00:00:00 - Rule #448: '<-!?Alp^0' accepted
0:00:00:00 - Rule #449: '<-!?Alp^1' accepted
0:00:00:00 - Rule #450: '<-!?Alp^3' accepted
0:00:00:00 - Rule #451: '<-!?Alp^5' accepted
0:00:00:00 - Rule #452: '<-!?Alp^6' accepted
0:00:00:00 - Rule #453: '<-!?Alp^7' accepted
0:00:00:00 - Rule #454: '<-!?Alp^8' accepted
0:00:00:00 - Rule #455: '<-!?Alp^9' accepted
0:00:00:00 - Rule #456: '(?a2(?ac1c' accepted
0:00:00:00 - Rule #457: '(?a2(?ac1l' accepted
0:00:00:00 - Rule #458: '1<-$ +l' accepted
0:00:00:00 - Rule #459: '1<-$_+l' accepted
0:00:00:00 - Rule #460: '1<-$-+l' accepted
